"","subgraph.centrality.scores","Topological.Coefficient","Average.Distance","Barycenter.Centrality","BottleNeck.Centrality","Centroid.value","Closeness.Centrality..Freeman.","Decay.Centrality","Degree.Centrality","Diffusion.Degree","DMNC...Density.of.Maximum.Neighborhood.Component","Eccentricity.Centrality","eigenvector.centralities","K.core.Decomposition","Geodesic.K.Path.Centrality","Kleinberg.s.authority.centrality.scores","Kleinberg.s.hub.centrality.scores","Lin.Centrality","Lobby.Index..Centrality.","Markov.Centrality","Radiality.Centrality","Shortest.Paths.Betweenness.Centrality","Current.Flow.Closeness.Centrality","Closeness.centrality..Latora.","Cross.Clique.Connectivity","Entropy.Centrality","EPC...Edge.Percolated.Component","Laplacian.Centrality","Leverage.Centrality","MNC...Maximum.Neighborhood.Component","Semi.Local.Centrality","Residual.Closeness.Centrality","Stress.Centrality","Load.Centrality","Flow.Betweenness.Centrality","Information.Centrality","Harary.Centrality","Dangalchev.Closeness.Centrality","Group.Centrality","Harmonic.Centrality","Local.Bridging.Centrality","Wiener.Index.Centrality"
"MAP3K19",393.519080092423,0.374384236453202,4.23664122137405,0.0018018018018018,2,-110,0.0018018018018018,14.3984375,7,84,0.0501750035468149,7,0.000538492878274239,5,46,0.000538492878274441,0.000538492878274316,29.9837837837838,6,0.00244602394857222,5.77519379844961,131.583333333333,0.903805086301529,39.3142857142857,23,12,707.2,210,-0.0865900383141762,6,2489,14.3984375,464,368.593055555556,441,1.29663781404973,0.142857142857143,13.3984375,1.1565734989648,39.3142857142857,0.0894472648398844,555
"MB",859.417457765809,0.29047619047619,3.54961832061069,0.0021505376344086,5,-92,0.0021505376344086,17.6875,6,67,0.159664183576095,7,0.159305360540698,4,68,0.159305360540698,0.159305360540698,35.7870967741936,5,0.00410068583864377,6.47286821705426,43.3447198302954,1.07532947891013,44.1857142857143,13,12.0224545108465,756.992307692308,164,-0.154761904761905,3,2787,17.6875,0,16,0,0.564006087908241,0.142857142857143,16.6875,0.867512531328321,44.1857142857143,0.193726937269373,465
"MMP12",12523.1651752181,0.25,3.21374045801527,0.00237529691211401,15,-61,0.00237529691211401,23.4375,15,226,0.0975115741514923,7,0.61181541754135,6,79,0.61181541754135,0.61181541754135,39.5273159144893,9,0.00699927693183796,6.81395348837209,127.086481895819,1.23578993035622,53.3690476190476,147,12.0224545108465,772.923076923077,662,0.0962101023743098,14,10148,23.4375,0,13,0,0.552534480769494,0.142857142857143,22.4375,1.31894863429493,53.3690476190476,0.0476538549655797,421
"MORN5",578.295867501119,0.340740740740741,4.21374045801527,0.00181159420289855,5,-107,0.00181159420289855,15.0234375,9,102,0.0310341404824074,7,0.000628147080697657,5,46,0.00062814708069798,0.000628147080697822,30.1467391304348,7,0.0026648703581893,5.7984496124031,170.392711636189,0.937972521691527,40.4809523809524,41,12,716.607692307692,276,0.0485967542893539,8,2988,15.0234375,77,74,62,1.18961084467827,0.166666666666667,14.0234375,1.43633540372671,40.4809523809524,0.0562863402591464,552
"MRC1",22982.7488508312,0.231818181818182,3.19847328244275,0.00238663484486874,27,-59,0.00238663484486874,24.375,20,275,0.100779260277185,7,0.829524157487386,7,78,0.829524157487385,0.829524157487385,39.7159904534606,10,0.00764285820796376,6.82945736434108,226.437909521193,1.25792932133825,55.4523809523809,382,12.0224545108465,772.923076923077,930,0.280373675027727,20,12538,24.375,0,25,0,0.919523852364003,0.125,23.375,2.10425309591519,55.4523809523809,0.0202746462439736,419
"MS4A4A",6668.56902726712,0.361111111111111,3.74045801526718,0.00204081632653061,9,-99,0.00204081632653061,19.375,9,153,0.0310341404824074,8,0.446447769123819,6,73,0.44644776912382,0.44644776912382,33.9612244897959,8,0.00519431754766605,6.27906976744186,69.274892029681,1.15031197488907,46.4095238095238,99,12.0224545108465,772.061538461538,378,-0.139423871148009,8,7024,19.375,27,39.5333333333333,25,1.15513401052419,0.142857142857143,18.375,1.06008111292741,46.4095238095238,0.0899552622302014,490
"MUC16",11.0756752493357,0.535714285714286,3.47328244274809,0.0021978021978022,9,-76,0.0021978021978022,14.8125,2,19,0,6,0.00510425287969978,2,60,0.00510425287969984,0.00510425287969982,36.5736263736264,2,0.00190277766102261,6.55038759689922,48.9853945918362,0.798130951541898,40.1,3,12.0224545108465,572.8,40,-0.611111111111111,1,555,14.8125,254,209.208333333333,235,1.26836735064678,0.166666666666667,13.8125,0.549242424242424,40.1,2.05882352941176,455
"MUC5B",159.612157611836,0.224489795918367,2.89312977099237,0.00263852242744063,104,-17,0.00263852242744063,21.3125,7,63,0.0501750035468149,5,0.0617536118512291,4,98,0.0617536118512293,0.0617536118512293,43.9076517150396,6,0.00586035761468032,7.13953488372093,1460.53589684179,1.20507383243197,49.7166666666667,17,12.0224545108465,764.207692307692,168,-0.0010251186721775,6,2024,21.3125,166,153.902777777778,181,1.21864245843156,0.142857142857143,20.3125,1.1133658008658,49.7166666666667,0.114942528735632,379
"NAPSA",21.8638958462155,0.523809523809524,3.83206106870229,0.00199203187250996,4,-114,0.00199203187250996,13.59375,3,25,0,7,0.0199311924672827,3,58,0.0199311924672828,0.0199311924672828,33.1494023904382,3,0.00245803323767222,6.18604651162791,2.70995670995671,0.895574521878476,38.2023809523809,6,12.0224545108465,674.953846153846,56,-0.401709401709402,3,707,13.59375,0,25,0,0.93090733532318,0.125,12.59375,0.626623376623377,38.2023809523809,0.769230769230769,502
"PACRG",398.674719389536,0.318548387096774,4.20610687022901,0.00181488203266788,27,-106,0.00181488203266788,14.9609375,8,88,0.0387870074129426,7,0.000755081208441806,5,47,0.000755081208442057,0.000755081208441852,30.2014519056261,6,0.00262138480161067,5.8062015503876,170.133477633478,0.931432930961733,40.2309523809524,31,12,710.346153846154,232,0.00696645459803355,7,2577,14.9609375,16,28.0833333333333,25,0.910811327280612,0.142857142857143,13.9609375,1.30502227241358,40.2309523809524,0.0699553582562286,551
